x,y,z,inclinacion,azimuth,stage,medida_daq
0,0,0.9,0,0,background,0.014598
0,0,0.9,0,0,background,0.038617
0,0,0.9,0,0,background,0.0284172
0,0,0.9,0,0,background,0.0294042
0,0,0.9,0,0,background,0.000120839
0,0,0.9,0,0,background,0.038288
0,0,0.9,0,0,background,0.0300623
0,0,0.9,0,0,background,0.0343397
0,0,0.9,0,0,background,0.0363138
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0323655
0,0,0.9,0,0,background,0.0343397
0,0,0.9,0,0,background,0.0353267
0,0,0.9,0,0,background,0.0349977
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0349977
0,0,0.9,0,0,background,0.0359848
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0340106
0,0,0.9,0,0,background,0.0682294
0,0,0.9,0,0,background,0.0287462
0,0,0.9,0,0,background,0.0412492
0,0,0.9,0,0,background,0.0297333
0,0,0.9,0,0,background,0.0274301
0,0,0.9,0,0,background,0.0136109
0,0,0.9,0,0,background,0.0290752
0,0,0.9,0,0,background,0.0366428
0,0,0.9,0,0,background,0.0343397
0,0,0.9,0,0,background,0.0333526
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0290752
0,0,0.9,0,0,background,0.0343397
0,0,0.9,0,0,background,0.0323655
0,0,0.9,0,0,background,0.0363138
0,0,0.9,0,0,background,0.0349977
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0340106
0,0,0.9,0,0,background,0.0373009
0,0,0.9,0,0,background,0.0369719
0,0,0.9,0,0,background,0.0241398
0,0,0.9,0,0,background,0.038617
0,0,0.9,0,0,background,0.0359848
0,0,0.9,0,0,background,0.037959
0,0,0.9,0,0,background,0.00999165
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0419073
0,0,0.9,0,0,background,0.037959
0,0,0.9,0,0,background,0.0369719
0,0,0.9,0,0,background,0.0356558
0,0,0.9,0,0,background,0.0359848
0,0,0.9,0,0,background,0.0349977
0,0,0.9,0,0,background,0.0359848
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0340106
0,0,0.9,0,0,background,0.0340106
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0346687
0,0,0.9,0,0,background,0.0343397
0,0,0.9,0,0,background,0.0356558
0,0,0.9,0,0,background,0.0461846
0,0,0.9,0,0,background,0.0409202
0,0,0.9,0,0,background,0.0333526
0,0,0.9,0,0,background,0.0359848
0,0,0.9,0,0,background,0.0247979
0,0,0.9,0,0,background,0.0224947
0,0,0.9,0,0,background,0.0419073
0,0,0.9,0,0,background,0.0340106
0,0,0.9,0,0,background,0.0353267
0,0,0.9,0,0,background,0.0353267
0,0,0.9,0,0,background,0.037959
0,0,0.9,0,0,background,0.0320365
0,0,0.9,0,0,background,0.0333526
0,0,0.9,0,0,background,0.0356558
0,0,0.9,0,0,background,0.0353267
0,0,0.9,0,0,background,0.0343397
