x,y,z,inclinacion,azimuth,stage,medida_daq
-0.2,0.4,0.9,0,0,background,0.0359848
-0.2,0.4,0.9,0,0,background,0.0363138
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0343397
-0.2,0.4,0.9,0,0,background,0.0343397
-0.2,0.4,0.9,0,0,background,0.0356558
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0560554
-0.2,0.4,0.9,0,0,background,0.0343397
-0.2,0.4,0.9,0,0,background,0.0412492
-0.2,0.4,0.9,0,0,background,0.00867554
-0.2,0.4,0.9,0,0,background,0.0317074
-0.2,0.4,0.9,0,0,background,-0.010079
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0323655
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0343397
-0.2,0.4,0.9,0,0,background,0.037959
-0.2,0.4,0.9,0,0,background,0.0340106
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0356558
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0356558
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.026114
-0.2,0.4,0.9,0,0,background,0.0251269
-0.2,0.4,0.9,0,0,background,0.0435524
-0.2,0.4,0.9,0,0,background,0.0198625
-0.2,0.4,0.9,0,0,background,0.0392751
-0.2,0.4,0.9,0,0,background,0.0323655
-0.2,0.4,0.9,0,0,background,0.0369719
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0333526
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0326945
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0336816
-0.2,0.4,0.9,0,0,background,0.0333526
-0.2,0.4,0.9,0,0,background,0.050462
-0.2,0.4,0.9,0,0,background,0.0373009
-0.2,0.4,0.9,0,0,background,0.0405912
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0415783
-0.2,0.4,0.9,0,0,background,0.0419073
-0.2,0.4,0.9,0,0,background,0.0376299
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0333526
-0.2,0.4,0.9,0,0,background,0.0356558
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0343397
-0.2,0.4,0.9,0,0,background,0.0330235
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0359848
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0369719
-0.2,0.4,0.9,0,0,background,0.0162432
-0.2,0.4,0.9,0,0,background,0.0340106
-0.2,0.4,0.9,0,0,background,0.0320365
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0116368
-0.2,0.4,0.9,0,0,background,0.0290752
-0.2,0.4,0.9,0,0,background,0.0448685
-0.2,0.4,0.9,0,0,background,0.0340106
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0356558
-0.2,0.4,0.9,0,0,background,0.0359848
-0.2,0.4,0.9,0,0,background,0.0343397
-0.2,0.4,0.9,0,0,background,0.0356558
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0336816
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0349977
-0.2,0.4,0.9,0,0,background,0.0330235
-0.2,0.4,0.9,0,0,background,0.0471717
-0.2,0.4,0.9,0,0,background,0.0297333
-0.2,0.4,0.9,0,0,background,0.0333526
-0.2,0.4,0.9,0,0,background,0.0396041
-0.2,0.4,0.9,0,0,background,0.0343397
-0.2,0.4,0.9,0,0,background,0.0445395
-0.2,0.4,0.9,0,0,background,0.0271011
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0333526
-0.2,0.4,0.9,0,0,background,0.0353267
-0.2,0.4,0.9,0,0,background,0.0343397
-0.2,0.4,0.9,0,0,background,0.0343397
-0.2,0.4,0.9,0,0,background,0.0346687
-0.2,0.4,0.9,0,0,background,0.0353267
