x,y,z,inclinacion,azimuth,stage,medida_daq
-0.6,-0.6,0.9,0,0,background,0.0356558
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0320365
-0.6,-0.6,0.9,0,0,background,0.0323655
-0.6,-0.6,0.9,0,0,background,0.0333526
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0340106
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0353267
-0.6,-0.6,0.9,0,0,background,0.0353267
-0.6,-0.6,0.9,0,0,background,0.063294
-0.6,-0.6,0.9,0,0,background,0.0215076
-0.6,-0.6,0.9,0,0,background,0.0356558
-0.6,-0.6,0.9,0,0,background,0.0435524
-0.6,-0.6,0.9,0,0,background,0.0284172
-0.6,-0.6,0.9,0,0,background,0.0432234
-0.6,-0.6,0.9,0,0,background,0.0320365
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0356558
-0.6,-0.6,0.9,0,0,background,0.0353267
-0.6,-0.6,0.9,0,0,background,0.0359848
-0.6,-0.6,0.9,0,0,background,0.0359848
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0336816
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0218366
-0.6,-0.6,0.9,0,0,background,0.0593457
-0.6,-0.6,0.9,0,0,background,0.0323655
-0.6,-0.6,0.9,0,0,background,0.0336816
-0.6,-0.6,0.9,0,0,background,0.0182173
-0.6,-0.6,0.9,0,0,background,0.0435524
-0.6,-0.6,0.9,0,0,background,0.0399331
-0.6,-0.6,0.9,0,0,background,0.0336816
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0333526
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0340106
-0.6,-0.6,0.9,0,0,background,0.0396041
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0340106
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0438814
-0.6,-0.6,0.9,0,0,background,0.0438814
-0.6,-0.6,0.9,0,0,background,0.0366428
-0.6,-0.6,0.9,0,0,background,0.0320365
-0.6,-0.6,0.9,0,0,background,0.0432234
-0.6,-0.6,0.9,0,0,background,0.0122948
-0.6,-0.6,0.9,0,0,background,0.0313784
-0.6,-0.6,0.9,0,0,background,0.0369719
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0353267
-0.6,-0.6,0.9,0,0,background,0.0356558
-0.6,-0.6,0.9,0,0,background,0.0326945
-0.6,-0.6,0.9,0,0,background,0.0330235
-0.6,-0.6,0.9,0,0,background,0.0330235
-0.6,-0.6,0.9,0,0,background,0.0340106
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0336816
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0113078
-0.6,-0.6,0.9,0,0,background,0.0284172
-0.6,-0.6,0.9,0,0,background,0.0346687
-0.6,-0.6,0.9,0,0,background,0.0442105
-0.6,-0.6,0.9,0,0,background,0.0402621
-0.6,-0.6,0.9,0,0,background,0.0313784
-0.6,-0.6,0.9,0,0,background,0.075139
-0.6,-0.6,0.9,0,0,background,0.0353267
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0349977
-0.6,-0.6,0.9,0,0,background,0.0343397
-0.6,-0.6,0.9,0,0,background,0.0330235
-0.6,-0.6,0.9,0,0,background,0.0363138
-0.6,-0.6,0.9,0,0,background,0.0346687
