x,y,z,inclinacion,azimuth,stage,medida_daq
0,0,1.1,0,0,background,0.0326945
0,0,1.1,0,0,background,0.0451975
0,0,1.1,0,0,background,0.0603328
0,0,1.1,0,0,background,0.0274301
0,0,1.1,0,0,background,0.0369719
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0366428
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0363138
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0455266
0,0,1.1,0,0,background,0.0303913
0,0,1.1,0,0,background,0.05112
0,0,1.1,0,0,background,0.0415783
0,0,1.1,0,0,background,0.0491459
0,0,1.1,0,0,background,0.0405912
0,0,1.1,0,0,background,0.0804035
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0369719
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0336816
0,0,1.1,0,0,background,0.0303913
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0458556
0,0,1.1,0,0,background,0.0373009
0,0,1.1,0,0,background,0.0244688
0,0,1.1,0,0,background,0.0451975
0,0,1.1,0,0,background,0.0675714
0,0,1.1,0,0,background,0.0373009
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0330235
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0330235
0,0,1.1,0,0,background,0.038946
0,0,1.1,0,0,background,0.0369719
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0307204
0,0,1.1,0,0,background,0.0376299
0,0,1.1,0,0,background,0.0228237
0,0,1.1,0,0,background,0.0313784
0,0,1.1,0,0,background,0.0527652
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0320365
0,0,1.1,0,0,background,0.037959
0,0,1.1,0,0,background,0.0363138
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0369719
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0280881
0,0,1.1,0,0,background,0.025785
0,0,1.1,0,0,background,0.037959
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0369719
0,0,1.1,0,0,background,0.0438814
0,0,1.1,0,0,background,0.0326945
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0363138
0,0,1.1,0,0,background,0.0366428
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0241398
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0399331
0,0,1.1,0,0,background,0.0396041
0,0,1.1,0,0,background,0.0287462
0,0,1.1,0,0,background,0.0238108
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0336816
0,0,1.1,0,0,background,0.0373009
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0366428
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0336816
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0330235
0,0,1.1,0,0,background,0.0336816
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0317074
0,0,1.1,0,0,background,0.0438814
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0448685
0,0,1.1,0,0,background,0.0405912
0,0,1.1,0,0,background,0.0277591
0,0,1.1,0,0,background,0.062636
0,0,1.1,0,0,background,0.0330235
0,0,1.1,0,0,background,0.0336816
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0330235
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.038617
0,0,1.1,0,0,background,0.0649392
0,0,1.1,0,0,background,0.0300623
0,0,1.1,0,0,background,0.0290752
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0185464
0,0,1.1,0,0,background,0.0731649
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.037959
0,0,1.1,0,0,background,0.0530942
0,0,1.1,0,0,background,0.0284172
0,0,1.1,0,0,background,0.0271011
0,0,1.1,0,0,background,0.0363138
0,0,1.1,0,0,background,0.0468427
0,0,1.1,0,0,background,0.0396041
0,0,1.1,0,0,background,0.050791
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0336816
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0613199
0,0,1.1,0,0,background,0.0317074
0,0,1.1,0,0,background,0.0405912
0,0,1.1,0,0,background,0.0438814
0,0,1.1,0,0,background,0.0303913
0,0,1.1,0,0,background,0.0152561
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0366428
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0340106
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0333526
0,0,1.1,0,0,background,0.0363138
0,0,1.1,0,0,background,0.0468427
0,0,1.1,0,0,background,0.0323655
0,0,1.1,0,0,background,0.0396041
0,0,1.1,0,0,background,0.0432234
0,0,1.1,0,0,background,0.0484878
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0369719
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0356558
0,0,1.1,0,0,background,0.0343397
0,0,1.1,0,0,background,0.0323655
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0349977
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0359848
0,0,1.1,0,0,background,0.0353267
0,0,1.1,0,0,background,0.0290752
0,0,1.1,0,0,background,0.0241398
0,0,1.1,0,0,background,0.0346687
0,0,1.1,0,0,background,0.0363138
0,0,1.1,0,0,background,0.0412492
0,0,1.1,0,0,background,0.0399331
0,0,1.1,0,0,background,0.0405912
