x,y,z,inclinacion,azimuth,stage,medida_daq
1.2,-1.2,1.1,0,0,background,0.0419073
1.2,-1.2,1.1,0,0,background,0.0307204
1.2,-1.2,1.1,0,0,background,0.0323655
1.2,-1.2,1.1,0,0,background,0.0195334
1.2,-1.2,1.1,0,0,background,0.0317074
1.2,-1.2,1.1,0,0,background,0.0343397
1.2,-1.2,1.1,0,0,background,0.0356558
1.2,-1.2,1.1,0,0,background,0.0363138
1.2,-1.2,1.1,0,0,background,0.0353267
1.2,-1.2,1.1,0,0,background,0.0353267
1.2,-1.2,1.1,0,0,background,0.0343397
1.2,-1.2,1.1,0,0,background,0.0349977
1.2,-1.2,1.1,0,0,background,0.0353267
1.2,-1.2,1.1,0,0,background,0.0349977
1.2,-1.2,1.1,0,0,background,0.0356558
1.2,-1.2,1.1,0,0,background,0.0356558
1.2,-1.2,1.1,0,0,background,0.0356558
1.2,-1.2,1.1,0,0,background,0.0340106
1.2,-1.2,1.1,0,0,background,0.0159141
1.2,-1.2,1.1,0,0,background,0.0405912
1.2,-1.2,1.1,0,0,background,0.0438814
1.2,-1.2,1.1,0,0,background,0.026114
1.2,-1.2,1.1,0,0,background,0.0300623
1.2,-1.2,1.1,0,0,background,0.0336816
1.2,-1.2,1.1,0,0,background,0.0402621
1.2,-1.2,1.1,0,0,background,0.0369719
1.2,-1.2,1.1,0,0,background,0.0363138
1.2,-1.2,1.1,0,0,background,0.0359848
1.2,-1.2,1.1,0,0,background,0.0346687
1.2,-1.2,1.1,0,0,background,0.0369719
1.2,-1.2,1.1,0,0,background,0.0333526
1.2,-1.2,1.1,0,0,background,0.0363138
1.2,-1.2,1.1,0,0,background,0.0353267
1.2,-1.2,1.1,0,0,background,0.0343397
1.2,-1.2,1.1,0,0,background,0.0353267
1.2,-1.2,1.1,0,0,background,0.0343397
1.2,-1.2,1.1,0,0,background,0.0340106
1.2,-1.2,1.1,0,0,background,0.0356558
1.2,-1.2,1.1,0,0,background,0.0560554
1.2,-1.2,1.1,0,0,background,0.026443
1.2,-1.2,1.1,0,0,background,0.0274301
1.2,-1.2,1.1,0,0,background,0.0428944
1.2,-1.2,1.1,0,0,background,0.0300623
1.2,-1.2,1.1,0,0,background,0.0346687
1.2,-1.2,1.1,0,0,background,0.0343397
1.2,-1.2,1.1,0,0,background,0.0353267
1.2,-1.2,1.1,0,0,background,0.0369719
1.2,-1.2,1.1,0,0,background,0.0336816
1.2,-1.2,1.1,0,0,background,0.0359848
1.2,-1.2,1.1,0,0,background,0.0363138
1.2,-1.2,1.1,0,0,background,0.0363138
1.2,-1.2,1.1,0,0,background,0.0346687
1.2,-1.2,1.1,0,0,background,0.0363138
1.2,-1.2,1.1,0,0,background,0.0353267
1.2,-1.2,1.1,0,0,background,0.0349977
1.2,-1.2,1.1,0,0,background,0.0349977
1.2,-1.2,1.1,0,0,background,0.0369719
1.2,-1.2,1.1,0,0,background,0.0336816
1.2,-1.2,1.1,0,0,background,0.0517781
1.2,-1.2,1.1,0,0,background,0.0363138
1.2,-1.2,1.1,0,0,background,0.0330235
1.2,-1.2,1.1,0,0,background,0.0336816
1.2,-1.2,1.1,0,0,background,0.0290752
1.2,-1.2,1.1,0,0,background,0.0468427
1.2,-1.2,1.1,0,0,background,0.0442105
1.2,-1.2,1.1,0,0,background,0.0349977
1.2,-1.2,1.1,0,0,background,0.0349977
1.2,-1.2,1.1,0,0,background,0.0340106
1.2,-1.2,1.1,0,0,background,0.0349977
1.2,-1.2,1.1,0,0,background,0.0369719
1.2,-1.2,1.1,0,0,background,0.0363138
1.2,-1.2,1.1,0,0,background,0.0346687
1.2,-1.2,1.1,0,0,background,0.0343397
1.2,-1.2,1.1,0,0,background,0.0353267
1.2,-1.2,1.1,0,0,background,0.0349977
