x,y,z,inclinacion,azimuth,stage,medida_daq
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0537523
-0.6,0.4,1.2,0,0,background,0.0593457
-0.6,0.4,1.2,0,0,background,0.0534232
-0.6,0.4,1.2,0,0,background,0.0593457
-0.6,0.4,1.2,0,0,background,0.0537523
-0.6,0.4,1.2,0,0,background,0.0481588
-0.6,0.4,1.2,0,0,background,0.0488168
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0530942
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0590167
-0.6,0.4,1.2,0,0,background,0.0478298
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0590167
-0.6,0.4,1.2,0,0,background,0.0544103
-0.6,0.4,1.2,0,0,background,0.0708617
-0.6,0.4,1.2,0,0,background,0.0679004
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0590167
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0586877
-0.6,0.4,1.2,0,0,background,0.0586877
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0718487
-0.6,0.4,1.2,0,0,background,0.050462
-0.6,0.4,1.2,0,0,background,0.0484878
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0409202
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0553974
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0553974
-0.6,0.4,1.2,0,0,background,0.0553974
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0553974
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.062636
-0.6,0.4,1.2,0,0,background,0.0475007
-0.6,0.4,1.2,0,0,background,0.0494749
-0.6,0.4,1.2,0,0,background,0.0652682
-0.6,0.4,1.2,0,0,background,0.0468427
-0.6,0.4,1.2,0,0,background,0.0609909
-0.6,0.4,1.2,0,0,background,0.0734939
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0609909
-0.6,0.4,1.2,0,0,background,0.0412492
-0.6,0.4,1.2,0,0,background,0.0553974
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0609909
-0.6,0.4,1.2,0,0,background,0.0494749
-0.6,0.4,1.2,0,0,background,0.0655972
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0530942
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.050133
-0.6,0.4,1.2,0,0,background,0.0494749
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0540813
-0.6,0.4,1.2,0,0,background,0.0442105
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0685585
-0.6,0.4,1.2,0,0,background,0.0586877
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0550684
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0583586
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.05112
-0.6,0.4,1.2,0,0,background,0.050133
-0.6,0.4,1.2,0,0,background,0.0458556
-0.6,0.4,1.2,0,0,background,0.0461846
-0.6,0.4,1.2,0,0,background,0.050133
-0.6,0.4,1.2,0,0,background,0.0451975
-0.6,0.4,1.2,0,0,background,0.0777712
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0596747
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0547393
-0.6,0.4,1.2,0,0,background,0.0475007
-0.6,0.4,1.2,0,0,background,0.0593457
-0.6,0.4,1.2,0,0,background,0.0494749
-0.6,0.4,1.2,0,0,background,0.062965
-0.6,0.4,1.2,0,0,background,0.098829
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0540813
-0.6,0.4,1.2,0,0,background,0.0586877
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0682294
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0514491
-0.6,0.4,1.2,0,0,background,0.0517781
-0.6,0.4,1.2,0,0,background,0.0530942
-0.6,0.4,1.2,0,0,background,0.0544103
-0.6,0.4,1.2,0,0,background,0.0399331
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0553974
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0553974
-0.6,0.4,1.2,0,0,background,0.0553974
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0553974
-0.6,0.4,1.2,0,0,background,0.0557264
-0.6,0.4,1.2,0,0,background,0.0573716
-0.6,0.4,1.2,0,0,background,0.0550684
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0544103
-0.6,0.4,1.2,0,0,background,0.0363138
-0.6,0.4,1.2,0,0,background,0.0544103
-0.6,0.4,1.2,0,0,background,0.0659263
-0.6,0.4,1.2,0,0,background,0.0514491
-0.6,0.4,1.2,0,0,background,0.0530942
-0.6,0.4,1.2,0,0,background,0.0349977
-0.6,0.4,1.2,0,0,background,0.0560554
-0.6,0.4,1.2,0,0,background,0.0590167
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0570425
-0.6,0.4,1.2,0,0,background,0.0563845
-0.6,0.4,1.2,0,0,background,0.0580296
-0.6,0.4,1.2,0,0,background,0.0567135
-0.6,0.4,1.2,0,0,background,0.0577006
-0.6,0.4,1.2,0,0,background,0.0560554
