x,y,z,inclinacion,azimuth,stage,medida_daq
-0.4,-0.4,1.1,0,0,background,0.0340106
-0.4,-0.4,1.1,0,0,background,0.0340106
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0359848
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0577006
-0.4,-0.4,1.1,0,0,background,0.0333526
-0.4,-0.4,1.1,0,0,background,0.0376299
-0.4,-0.4,1.1,0,0,background,0.0442105
-0.4,-0.4,1.1,0,0,background,0.037959
-0.4,-0.4,1.1,0,0,background,0.0596747
-0.4,-0.4,1.1,0,0,background,0.0310494
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0363138
-0.4,-0.4,1.1,0,0,background,0.0346687
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0346687
-0.4,-0.4,1.1,0,0,background,0.0356558
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0356558
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.00867554
-0.4,-0.4,1.1,0,0,background,0.0359848
-0.4,-0.4,1.1,0,0,background,0.0284172
-0.4,-0.4,1.1,0,0,background,0.0330235
-0.4,-0.4,1.1,0,0,background,0.0369719
-0.4,-0.4,1.1,0,0,background,0.038617
-0.4,-0.4,1.1,0,0,background,0.0376299
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0356558
-0.4,-0.4,1.1,0,0,background,0.0373009
-0.4,-0.4,1.1,0,0,background,0.0366428
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0330235
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0356558
-0.4,-0.4,1.1,0,0,background,0.0346687
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0422363
-0.4,-0.4,1.1,0,0,background,0.0405912
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0323655
-0.4,-0.4,1.1,0,0,background,0.0396041
-0.4,-0.4,1.1,0,0,background,0.0119658
-0.4,-0.4,1.1,0,0,background,0.0129529
-0.4,-0.4,1.1,0,0,background,0.0340106
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0356558
-0.4,-0.4,1.1,0,0,background,0.0346687
-0.4,-0.4,1.1,0,0,background,0.0366428
-0.4,-0.4,1.1,0,0,background,0.0376299
-0.4,-0.4,1.1,0,0,background,0.0373009
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0340106
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0356558
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0340106
-0.4,-0.4,1.1,0,0,background,0.00966262
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0333526
-0.4,-0.4,1.1,0,0,background,0.0300623
-0.4,-0.4,1.1,0,0,background,0.0363138
-0.4,-0.4,1.1,0,0,background,0.0152561
-0.4,-0.4,1.1,0,0,background,0.0313784
-0.4,-0.4,1.1,0,0,background,0.038288
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0363138
-0.4,-0.4,1.1,0,0,background,0.0359848
-0.4,-0.4,1.1,0,0,background,0.0376299
-0.4,-0.4,1.1,0,0,background,0.0317074
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0359848
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0448685
-0.4,-0.4,1.1,0,0,background,0.0451975
-0.4,-0.4,1.1,0,0,background,0.0320365
-0.4,-0.4,1.1,0,0,background,0.0303913
-0.4,-0.4,1.1,0,0,background,0.0419073
-0.4,-0.4,1.1,0,0,background,0.0251269
-0.4,-0.4,1.1,0,0,background,0.0465137
-0.4,-0.4,1.1,0,0,background,0.0359848
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0363138
-0.4,-0.4,1.1,0,0,background,0.0359848
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0356558
-0.4,-0.4,1.1,0,0,background,0.0346687
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0340106
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0330235
-0.4,-0.4,1.1,0,0,background,0.0340106
-0.4,-0.4,1.1,0,0,background,0.00374014
-0.4,-0.4,1.1,0,0,background,0.0524361
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0478298
-0.4,-0.4,1.1,0,0,background,0.0326945
-0.4,-0.4,1.1,0,0,background,0.0129529
-0.4,-0.4,1.1,0,0,background,0.0455266
-0.4,-0.4,1.1,0,0,background,0.0369719
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0336816
-0.4,-0.4,1.1,0,0,background,0.0323655
-0.4,-0.4,1.1,0,0,background,0.0363138
-0.4,-0.4,1.1,0,0,background,0.0317074
-0.4,-0.4,1.1,0,0,background,0.0353267
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0346687
-0.4,-0.4,1.1,0,0,background,0.0349977
-0.4,-0.4,1.1,0,0,background,0.0343397
-0.4,-0.4,1.1,0,0,background,0.0359848
-0.4,-0.4,1.1,0,0,background,0.0323655
-0.4,-0.4,1.1,0,0,background,0.0340106
-0.4,-0.4,1.1,0,0,background,0.0208495
-0.4,-0.4,1.1,0,0,background,0.038288
-0.4,-0.4,1.1,0,0,background,0.0445395
