x,y,z,inclinacion,azimuth,stage,medida_daq
-0.6,0.4,0.9,0,0,background,0.0349977
-0.6,0.4,0.9,0,0,background,0.0333526
-0.6,0.4,0.9,0,0,background,0.0340106
-0.6,0.4,0.9,0,0,background,0.0340106
-0.6,0.4,0.9,0,0,background,0.0346687
-0.6,0.4,0.9,0,0,background,0.0349977
-0.6,0.4,0.9,0,0,background,0.00999165
-0.6,0.4,0.9,0,0,background,0.026443
-0.6,0.4,0.9,0,0,background,0.0238108
-0.6,0.4,0.9,0,0,background,0.038617
-0.6,0.4,0.9,0,0,background,0.0415783
-0.6,0.4,0.9,0,0,background,0.0284172
-0.6,0.4,0.9,0,0,background,0.0557264
-0.6,0.4,0.9,0,0,background,0.0359848
-0.6,0.4,0.9,0,0,background,0.0330235
-0.6,0.4,0.9,0,0,background,0.0349977
-0.6,0.4,0.9,0,0,background,0.0349977
-0.6,0.4,0.9,0,0,background,0.0363138
-0.6,0.4,0.9,0,0,background,0.0284172
-0.6,0.4,0.9,0,0,background,0.0346687
-0.6,0.4,0.9,0,0,background,0.0343397
-0.6,0.4,0.9,0,0,background,0.0343397
-0.6,0.4,0.9,0,0,background,0.0353267
-0.6,0.4,0.9,0,0,background,0.0336816
-0.6,0.4,0.9,0,0,background,0.0346687
-0.6,0.4,0.9,0,0,background,0.0346687
-0.6,0.4,0.9,0,0,background,0.0244688
-0.6,0.4,0.9,0,0,background,0.0409202
-0.6,0.4,0.9,0,0,background,0.0326945
-0.6,0.4,0.9,0,0,background,0.0307204
-0.6,0.4,0.9,0,0,background,0.0280881
-0.6,0.4,0.9,0,0,background,0.0359848
-0.6,0.4,0.9,0,0,background,0.00801749
-0.6,0.4,0.9,0,0,background,0.0349977
-0.6,0.4,0.9,0,0,background,0.0340106
-0.6,0.4,0.9,0,0,background,0.0346687
-0.6,0.4,0.9,0,0,background,0.0336816
-0.6,0.4,0.9,0,0,background,0.0330235
-0.6,0.4,0.9,0,0,background,0.0340106
-0.6,0.4,0.9,0,0,background,0.0323655
-0.6,0.4,0.9,0,0,background,0.0326945
-0.6,0.4,0.9,0,0,background,0.0340106
-0.6,0.4,0.9,0,0,background,0.0336816
-0.6,0.4,0.9,0,0,background,0.0340106
-0.6,0.4,0.9,0,0,background,0.0349977
-0.6,0.4,0.9,0,0,background,0.0349977
-0.6,0.4,0.9,0,0,background,0.0563845
-0.6,0.4,0.9,0,0,background,0.0198625
-0.6,0.4,0.9,0,0,background,0.0231527
-0.6,0.4,0.9,0,0,background,0.0284172
-0.6,0.4,0.9,0,0,background,0.0363138
-0.6,0.4,0.9,0,0,background,0.0287462
-0.6,0.4,0.9,0,0,background,0.0392751
-0.6,0.4,0.9,0,0,background,0.038946
-0.6,0.4,0.9,0,0,background,0.0349977
-0.6,0.4,0.9,0,0,background,0.0343397
