sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260721_150622_1,2026-07-21,15:07:31,X,-90.000000,90.000000,180.000000,1.000000,0.535877,0.535777,0.002052,1000,1000
20260721_150622_2,2026-07-21,15:07:35,X,-89.000000,89.000000,180.000000,1.000000,0.536500,0.536435,0.002031,1000,1000
20260721_150622_3,2026-07-21,15:07:40,X,-88.000000,88.000000,180.000000,1.000000,0.526050,0.525907,0.002068,1000,1000
20260721_150622_4,2026-07-21,15:07:44,X,-87.000000,87.000000,180.000000,1.000000,0.523531,0.523603,0.001979,1000,1000
20260721_150622_5,2026-07-21,15:07:48,X,-86.000000,86.000000,180.000000,1.000000,0.536881,0.536764,0.002064,1000,1000
20260721_150622_6,2026-07-21,15:07:52,X,-85.000000,85.000000,180.000000,1.000000,0.573855,0.573945,0.001901,1000,1000
20260721_150622_7,2026-07-21,15:07:56,X,-84.000000,84.000000,180.000000,1.000000,0.652890,0.652911,0.002039,1000,1000
20260721_150622_8,2026-07-21,15:08:00,X,-83.000000,83.000000,180.000000,1.000000,0.711581,0.711478,0.001997,1000,1000
20260721_150622_9,2026-07-21,15:08:05,X,-82.000000,82.000000,180.000000,1.000000,0.730673,0.730562,0.001982,1000,1000
20260721_150622_10,2026-07-21,15:08:09,X,-81.000000,81.000000,180.000000,1.000000,0.739073,0.739117,0.001898,1000,1000
20260721_150622_11,2026-07-21,15:08:13,X,-80.000000,80.000000,180.000000,1.000000,0.742047,0.742078,0.002013,1000,1000
20260721_150622_12,2026-07-21,15:08:17,X,-79.000000,79.000000,180.000000,1.000000,0.735029,0.735168,0.002037,1000,1000
20260721_150622_13,2026-07-21,15:08:21,X,-78.000000,78.000000,180.000000,1.000000,0.707343,0.707201,0.001999,1000,1000
20260721_150622_14,2026-07-21,15:08:25,X,-77.000000,77.000000,180.000000,1.000000,0.682160,0.682195,0.002046,1000,1000
20260721_150622_15,2026-07-21,15:08:30,X,-76.000000,76.000000,180.000000,1.000000,0.663136,0.663111,0.002013,1000,1000
20260721_150622_16,2026-07-21,15:08:34,X,-75.000000,75.000000,180.000000,1.000000,0.671623,0.671666,0.002099,1000,1000
20260721_150622_17,2026-07-21,15:08:38,X,-74.000000,74.000000,180.000000,1.000000,0.686277,0.686143,0.001862,1000,1000
20260721_150622_18,2026-07-21,15:08:42,X,-73.000000,73.000000,180.000000,1.000000,0.702885,0.702924,0.002172,1000,1000
20260721_150622_19,2026-07-21,15:08:46,X,-72.000000,72.000000,180.000000,1.000000,0.708611,0.708517,0.002234,1000,1000
20260721_150622_20,2026-07-21,15:08:50,X,-71.000000,71.000000,180.000000,1.000000,0.718143,0.718059,0.002011,1000,1000
20260721_150622_21,2026-07-21,15:08:54,X,-70.000000,70.000000,180.000000,1.000000,0.737924,0.737800,0.002172,1000,1000
20260721_150622_22,2026-07-21,15:08:59,X,-69.000000,69.000000,180.000000,1.000000,0.763869,0.763794,0.002055,1000,1000
20260721_150622_23,2026-07-21,15:09:03,X,-68.000000,68.000000,180.000000,1.000000,0.792044,0.792090,0.001917,1000,1000
20260721_150622_24,2026-07-21,15:09:07,X,-67.000000,67.000000,180.000000,1.000000,0.823119,0.823019,0.002260,1000,1000
20260721_150622_25,2026-07-21,15:09:11,X,-66.000000,66.000000,180.000000,1.000000,0.847779,0.847696,0.002034,1000,1000
20260721_150622_26,2026-07-21,15:09:15,X,-65.000000,65.000000,180.000000,1.000000,0.880275,0.880270,0.002020,1000,1000
20260721_150622_27,2026-07-21,15:09:19,X,-64.000000,64.000000,180.000000,1.000000,0.909657,0.909553,0.001945,1000,1000
20260721_150622_28,2026-07-21,15:09:24,X,-63.000000,63.000000,180.000000,1.000000,0.943412,0.943443,0.002033,1000,1000
20260721_150622_29,2026-07-21,15:09:28,X,-62.000000,62.000000,180.000000,1.000000,0.985346,0.985230,0.002225,1000,1000
20260721_150622_30,2026-07-21,15:09:32,X,-61.000000,61.000000,180.000000,1.000000,1.032970,1.032939,0.001955,1000,1000
20260721_150622_31,2026-07-21,15:09:36,X,-60.000000,60.000000,180.000000,1.000000,1.100202,1.100061,0.001999,1000,1000
20260721_150622_32,2026-07-21,15:09:40,X,-59.000000,59.000000,180.000000,1.000000,1.178722,1.178698,0.001938,1000,1000
20260721_150622_33,2026-07-21,15:09:44,X,-58.000000,58.000000,180.000000,1.000000,1.256442,1.256349,0.002266,1000,1000
20260721_150622_34,2026-07-21,15:09:48,X,-57.000000,57.000000,180.000000,1.000000,1.355490,1.355387,0.002008,1000,1000
20260721_150622_35,2026-07-21,15:09:53,X,-56.000000,56.000000,180.000000,1.000000,1.454902,1.454753,0.001993,1000,1000
20260721_150622_36,2026-07-21,15:09:57,X,-55.000000,55.000000,180.000000,1.000000,1.568315,1.568268,0.002050,1000,1000
20260721_150622_37,2026-07-21,15:10:01,X,-54.000000,54.000000,180.000000,1.000000,1.701121,1.701196,0.002113,1000,1000
20260721_150622_38,2026-07-21,15:10:05,X,-53.000000,53.000000,180.000000,1.000000,1.830596,1.830505,0.002007,1000,1000
20260721_150622_39,2026-07-21,15:10:09,X,-52.000000,52.000000,180.000000,1.000000,2.015100,2.015091,0.002175,1000,1000
20260721_150622_40,2026-07-21,15:10:13,X,-51.000000,51.000000,180.000000,1.000000,2.201549,2.201651,0.002180,1000,1000
20260721_150622_41,2026-07-21,15:10:17,X,-50.000000,50.000000,180.000000,1.000000,2.401461,2.401372,0.001858,1000,1000
20260721_150622_42,2026-07-21,15:10:22,X,-49.000000,49.000000,180.000000,1.000000,2.611069,2.610965,0.001870,1000,1000
20260721_150622_43,2026-07-21,15:10:26,X,-48.000000,48.000000,180.000000,1.000000,2.858367,2.858396,0.001939,1000,1000
20260721_150622_44,2026-07-21,15:10:30,X,-47.000000,47.000000,180.000000,1.000000,3.099294,3.099248,0.001943,1000,1000
20260721_150622_45,2026-07-21,15:10:34,X,-46.000000,46.000000,180.000000,1.000000,3.329905,3.329899,0.001982,1000,1000
20260721_150622_46,2026-07-21,15:10:38,X,-45.000000,45.000000,180.000000,1.000000,3.576433,3.576345,0.001964,1000,1000
20260721_150622_47,2026-07-21,15:10:42,X,-44.000000,44.000000,180.000000,1.000000,3.832940,3.832991,0.001886,1000,1000
20260721_150622_48,2026-07-21,15:10:46,X,-43.000000,43.000000,180.000000,1.000000,4.089172,4.088979,0.001939,1000,1000
20260721_150622_49,2026-07-21,15:10:50,X,-42.000000,42.000000,180.000000,1.000000,4.357239,4.357143,0.002048,1000,1000
20260721_150622_50,2026-07-21,15:10:55,X,-41.000000,41.000000,180.000000,1.000000,4.623887,4.623826,0.002807,1000,1000
20260721_150622_51,2026-07-21,15:10:59,X,-40.000000,40.000000,180.000000,1.000000,4.916165,4.915845,0.002418,1000,1000
20260721_150622_52,2026-07-21,15:11:03,X,-39.000000,39.000000,180.000000,1.000000,5.196201,5.195856,0.003102,1000,1000
20260721_150622_53,2026-07-21,15:11:07,X,-38.000000,38.000000,180.000000,1.000000,5.472091,5.471918,0.002202,1000,1000
20260721_150622_54,2026-07-21,15:11:11,X,-37.000000,37.000000,180.000000,1.000000,5.749139,5.749298,0.002041,1000,1000
20260721_150622_55,2026-07-21,15:11:15,X,-36.000000,36.000000,180.000000,1.000000,6.004991,6.004961,0.001772,1000,1000
20260721_150622_56,2026-07-21,15:11:19,X,-35.000000,35.000000,180.000000,1.000000,6.265750,6.265890,0.002294,1000,1000
20260721_150622_57,2026-07-21,15:11:24,X,-34.000000,34.000000,180.000000,1.000000,6.507978,6.508064,0.002136,1000,1000
20260721_150622_58,2026-07-21,15:11:28,X,-33.000000,33.000000,180.000000,1.000000,6.753547,6.753529,0.002056,1000,1000
20260721_150622_59,2026-07-21,15:11:32,X,-32.000000,32.000000,180.000000,1.000000,6.997449,6.997350,0.001900,1000,1000
20260721_150622_60,2026-07-21,15:11:36,X,-31.000000,31.000000,180.000000,1.000000,7.225895,7.226035,0.002138,1000,1000
20260721_150622_61,2026-07-21,15:11:40,X,-30.000000,30.000000,180.000000,1.000000,7.458014,7.458011,0.002010,1000,1000
20260721_150622_62,2026-07-21,15:11:44,X,-29.000000,29.000000,180.000000,1.000000,7.660157,7.659057,0.003645,1000,1000
20260721_150622_63,2026-07-21,15:11:48,X,-28.000000,28.000000,180.000000,1.000000,7.868659,7.868659,0.001953,1000,1000
20260721_150622_64,2026-07-21,15:11:53,X,-27.000000,27.000000,180.000000,1.000000,8.103508,8.103599,0.001961,1000,1000
20260721_150622_65,2026-07-21,15:11:57,X,-26.000000,26.000000,180.000000,1.000000,8.348756,8.348739,0.001990,1000,1000
20260721_150622_66,2026-07-21,15:12:01,X,-25.000000,25.000000,180.000000,1.000000,8.541224,8.541232,0.001616,1000,1000
20260721_150622_67,2026-07-21,15:12:05,X,-24.000000,24.000000,180.000000,1.000000,8.725607,8.724842,0.004955,1000,1000
20260721_150622_68,2026-07-21,15:12:09,X,-23.000000,23.000000,180.000000,1.000000,8.938101,8.938066,0.001968,1000,1000
20260721_150622_69,2026-07-21,15:12:13,X,-22.000000,22.000000,180.000000,1.000000,9.162670,9.163137,0.002495,1000,1000
20260721_150622_70,2026-07-21,15:12:18,X,-21.000000,21.000000,180.000000,1.000000,9.350008,9.351025,0.004164,1000,1000
20260721_150622_71,2026-07-21,15:12:22,X,-20.000000,20.000000,180.000000,1.000000,9.533217,9.534143,0.003388,1000,1000
20260721_150622_72,2026-07-21,15:12:26,X,-19.000000,19.000000,180.000000,1.000000,9.715452,9.715287,0.002209,1000,1000
20260721_150622_73,2026-07-21,15:12:30,X,-18.000000,18.000000,180.000000,1.000000,9.909580,9.909758,0.001827,1000,1000
20260721_150622_74,2026-07-21,15:12:34,X,-17.000000,17.000000,180.000000,1.000000,10.086829,10.087118,0.002657,1000,1000
20260721_150622_75,2026-07-21,15:12:38,X,-16.000000,16.000000,180.000000,1.000000,10.249690,10.249672,0.001556,1000,1000
20260721_150622_76,2026-07-21,15:12:42,X,-15.000000,15.000000,180.000000,1.000000,10.391848,10.391495,0.002978,1000,1000
