point_id,x,y,z,scan_kind,tilt_cmd_deg,tilt_cmd_az,pose_px,pose_py,pose_pz,pose_qx,pose_qy,pose_qz,pose_qw,nr_incl,nr_az,orientation_id,nt_incl,nt_az,repeat_id,date,time,v_mean,v_median,v_std,n_samples,fs
20260717_144940_1,0.25,-0.5,1.2,vertical,0,0,-0.012,-0.76,0.517,0,0,-0.38268428,0.92387918,0,0,1,0,0,1,2026-07-17,14:50:06,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,vertical,0,0,-0.012,-0.76,0.517,0,0,-0.38268428,0.92387918,0,0,2,34,182,1,2026-07-17,14:50:12,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,vertical,0,0,-0.012,-0.76,0.517,0,0,-0.38268428,0.92387918,0,0,3,37,267,1,2026-07-17,14:50:19,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,vertical,0,0,-0.012,-0.76,0.517,0,0,-0.38268428,0.92387918,0,0,4,37,355,1,2026-07-17,14:50:27,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,vertical,0,0,-0.012,-0.76,0.517,0,0,-0.38268428,0.92387918,0,0,5,42,78,1,2026-07-17,14:50:34,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,vertical,0,0,-0.012,-0.76,0.517,0,0,-0.38268428,0.92387918,0,0,6,53,97,1,2026-07-17,14:50:39,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,vertical,0,0,-0.012,-0.76,0.517,0,0,-0.38268428,0.92387918,0,0,7,57,179,1,2026-07-17,14:50:46,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,vertical,0,0,-0.012,-0.76,0.517,0,0,-0.38268428,0.92387918,0,0,8,58,360,1,2026-07-17,14:50:56,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,vertical,0,0,-0.012,-0.76,0.517,0,0,-0.38268428,0.92387918,0,0,9,58,272,1,2026-07-17,14:51:04,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,tilt,5.079002,70.072716,-0.015079459,-0.75888359,0.51714528,-0.018751024,0.040144852,-0.70596628,0.70685812,5.079,70.0727,1,0,0,1,2026-07-17,14:51:36,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,tilt,5.079002,70.072716,-0.015079459,-0.75888359,0.51714528,-0.018751024,0.040144852,-0.70596628,0.70685812,5.079,70.0727,2,34,182,1,2026-07-17,14:51:43,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,tilt,5.079002,70.072716,-0.015079459,-0.75888359,0.51714528,-0.018751024,0.040144852,-0.70596628,0.70685812,5.079,70.0727,3,37,267,1,2026-07-17,14:51:50,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,tilt,5.079002,70.072716,-0.015079459,-0.75888359,0.51714528,-0.018751024,0.040144852,-0.70596628,0.70685812,5.079,70.0727,4,37,355,1,2026-07-17,14:51:57,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,tilt,5.079002,70.072716,-0.015079459,-0.75888359,0.51714528,-0.018751024,0.040144852,-0.70596628,0.70685812,5.079,70.0727,5,42,78,1,2026-07-17,14:52:04,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,tilt,5.079002,70.072716,-0.015079459,-0.75888359,0.51714528,-0.018751024,0.040144852,-0.70596628,0.70685812,5.079,70.0727,6,53,97,1,2026-07-17,14:52:09,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,tilt,5.079002,70.072716,-0.015079459,-0.75888359,0.51714528,-0.018751024,0.040144852,-0.70596628,0.70685812,5.079,70.0727,7,57,179,1,2026-07-17,14:52:17,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,tilt,5.079002,70.072716,-0.015079459,-0.75888359,0.51714528,-0.018751024,0.040144852,-0.70596628,0.70685812,5.079,70.0727,8,58,360,1,2026-07-17,14:52:27,10.938389,10.938389,9.4194021e-14,1000,1000
20260717_144940_1,0.25,-0.5,1.2,tilt,5.079002,70.072716,-0.015079459,-0.75888359,0.51714528,-0.018751024,0.040144852,-0.70596628,0.70685812,5.079,70.0727,9,58,272,1,2026-07-17,14:52:35,10.938389,10.938389,9.4194021e-14,1000,1000
