Step,MenuIndex,BaseX,BaseY,CmdX,CmdY,NewPoints,CumPoints
1,11,-0.5,-0.5,-0.51,-0.488,93,93
2,12,-0.5,0,-0.51,0.012,89,182
3,13,-0.5,0.5,-0.51,0.512,61,243
4,14,-0.5,1,-0.51,1.012,44,287
5,16,0,-0.5,-0.01,-0.488,95,382
6,17,0,0,-0.01,0.012,65,447
7,18,0,0.5,-0.01,0.512,63,510
8,19,0,1,-0.01,1.012,44,554
9,21,0.5,-0.5,0.49,-0.488,73,627
10,22,0.5,0,0.49,0.012,48,675
11,23,0.5,0.5,0.49,0.512,34,709
12,24,0.5,1,0.49,1.012,35,744
13,26,1,-0.5,0.99,-0.488,45,789
14,27,1,0,0.99,0.012,25,814
15,28,1,0.5,0.99,0.512,27,841
16,29,1,1,0.99,1.012,13,854
17,1,-1.5,-0.5,-1.51,-0.488,93,947
18,2,-1.5,0,-1.51,0.012,89,1036
19,3,-1.5,0.5,-1.51,0.512,61,1097
20,4,-1.5,1,-1.51,1.012,44,1141
21,6,-1,-0.5,-1.01,-0.488,63,1204
22,7,-1,0,-1.01,0.012,45,1249
23,8,-1,0.5,-1.01,0.512,33,1282
24,9,-1,1,-1.01,1.012,29,1311
