x,y,z,inclinacion,azimuth,stage,medida_daq
-0.2,-0.2,1,0,0,background,0.0573716
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0583586
-0.2,-0.2,1,0,0,background,0.0902743
-0.2,-0.2,1,0,0,background,0.0475007
-0.2,-0.2,1,0,0,background,0.0593457
-0.2,-0.2,1,0,0,background,0.062636
-0.2,-0.2,1,0,0,background,0.0688875
-0.2,-0.2,1,0,0,background,0.050791
-0.2,-0.2,1,0,0,background,0.0616489
-0.2,-0.2,1,0,0,background,0.0550684
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0547393
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0307204
-0.2,-0.2,1,0,0,background,0.0616489
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0609909
-0.2,-0.2,1,0,0,background,0.0586877
-0.2,-0.2,1,0,0,background,0.0764551
-0.2,-0.2,1,0,0,background,0.037959
-0.2,-0.2,1,0,0,background,0.0573716
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0557264
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0560554
-0.2,-0.2,1,0,0,background,0.0560554
-0.2,-0.2,1,0,0,background,0.0560554
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0583586
-0.2,-0.2,1,0,0,background,0.050791
-0.2,-0.2,1,0,0,background,0.0491459
-0.2,-0.2,1,0,0,background,0.0514491
-0.2,-0.2,1,0,0,background,0.0527652
-0.2,-0.2,1,0,0,background,0.0761261
-0.2,-0.2,1,0,0,background,0.0478298
-0.2,-0.2,1,0,0,background,0.0580296
-0.2,-0.2,1,0,0,background,0.0573716
-0.2,-0.2,1,0,0,background,0.0550684
-0.2,-0.2,1,0,0,background,0.0557264
-0.2,-0.2,1,0,0,background,0.0540813
-0.2,-0.2,1,0,0,background,0.0534232
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0580296
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0057143
-0.2,-0.2,1,0,0,background,0.0619779
-0.2,-0.2,1,0,0,background,0.0593457
-0.2,-0.2,1,0,0,background,0.0498039
-0.2,-0.2,1,0,0,background,0.0603328
-0.2,-0.2,1,0,0,background,0.050462
-0.2,-0.2,1,0,0,background,0.0399331
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0590167
-0.2,-0.2,1,0,0,background,0.0596747
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0560554
-0.2,-0.2,1,0,0,background,0.0537523
-0.2,-0.2,1,0,0,background,0.0550684
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0560554
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0580296
-0.2,-0.2,1,0,0,background,0.063294
-0.2,-0.2,1,0,0,background,0.0688875
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0613199
-0.2,-0.2,1,0,0,background,0.0665843
-0.2,-0.2,1,0,0,background,0.0458556
-0.2,-0.2,1,0,0,background,0.063294
-0.2,-0.2,1,0,0,background,0.0560554
-0.2,-0.2,1,0,0,background,0.0586877
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0557264
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0557264
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.0573716
-0.2,-0.2,1,0,0,background,0.0560554
-0.2,-0.2,1,0,0,background,0.0517781
-0.2,-0.2,1,0,0,background,0.0669133
-0.2,-0.2,1,0,0,background,0.0642811
-0.2,-0.2,1,0,0,background,0.0494749
-0.2,-0.2,1,0,0,background,0.0639521
-0.2,-0.2,1,0,0,background,0.0524361
-0.2,-0.2,1,0,0,background,0.0573716
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0580296
-0.2,-0.2,1,0,0,background,0.0573716
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0560554
-0.2,-0.2,1,0,0,background,0.0550684
-0.2,-0.2,1,0,0,background,0.0570425
-0.2,-0.2,1,0,0,background,0.0560554
-0.2,-0.2,1,0,0,background,0.0563845
-0.2,-0.2,1,0,0,background,0.0553974
-0.2,-0.2,1,0,0,background,0.0577006
-0.2,-0.2,1,0,0,background,0.0557264
-0.2,-0.2,1,0,0,background,0.0567135
-0.2,-0.2,1,0,0,background,0.014269
-0.2,-0.2,1,0,0,background,0.0728358
-0.2,-0.2,1,0,0,background,0.0646101
-0.2,-0.2,1,0,0,background,0.0646101
-0.2,-0.2,1,0,0,background,0.0310494
-0.2,-0.2,1,0,0,background,0.0392751
-0.2,-0.2,1,0,0,background,0.0422363
-0.2,-0.2,1,0,0,background,0.0590167
-0.2,-0.2,1,0,0,background,0.0583586
-0.2,-0.2,1,0,0,background,0.0557264
-0.2,-0.2,1,0,0,background,0.0593457
