x,y,z,inclinacion,azimuth,stage,medida_daq
-0.6,0.6,1.2,0,0,background,0.0547393
-0.6,0.6,1.2,0,0,background,0.0527652
-0.6,0.6,1.2,0,0,background,0.0544103
-0.6,0.6,1.2,0,0,background,0.050133
-0.6,0.6,1.2,0,0,background,0.0481588
-0.6,0.6,1.2,0,0,background,0.0451975
-0.6,0.6,1.2,0,0,background,0.038946
-0.6,0.6,1.2,0,0,background,0.0392751
-0.6,0.6,1.2,0,0,background,0.0573716
-0.6,0.6,1.2,0,0,background,0.0570425
-0.6,0.6,1.2,0,0,background,0.0560554
-0.6,0.6,1.2,0,0,background,0.0590167
-0.6,0.6,1.2,0,0,background,0.0577006
-0.6,0.6,1.2,0,0,background,0.0563845
-0.6,0.6,1.2,0,0,background,0.0550684
-0.6,0.6,1.2,0,0,background,0.0560554
-0.6,0.6,1.2,0,0,background,0.0563845
-0.6,0.6,1.2,0,0,background,0.0570425
-0.6,0.6,1.2,0,0,background,0.0570425
-0.6,0.6,1.2,0,0,background,0.0583586
-0.6,0.6,1.2,0,0,background,0.0537523
-0.6,0.6,1.2,0,0,background,0.038617
-0.6,0.6,1.2,0,0,background,0.0685585
-0.6,0.6,1.2,0,0,background,0.0570425
-0.6,0.6,1.2,0,0,background,0.062307
-0.6,0.6,1.2,0,0,background,0.0540813
-0.6,0.6,1.2,0,0,background,0.062965
-0.6,0.6,1.2,0,0,background,0.0428944
-0.6,0.6,1.2,0,0,background,0.0586877
-0.6,0.6,1.2,0,0,background,0.0570425
-0.6,0.6,1.2,0,0,background,0.0570425
-0.6,0.6,1.2,0,0,background,0.0553974
-0.6,0.6,1.2,0,0,background,0.0563845
-0.6,0.6,1.2,0,0,background,0.0577006
-0.6,0.6,1.2,0,0,background,0.0560554
-0.6,0.6,1.2,0,0,background,0.0563845
-0.6,0.6,1.2,0,0,background,0.0560554
-0.6,0.6,1.2,0,0,background,0.0567135
-0.6,0.6,1.2,0,0,background,0.0563845
-0.6,0.6,1.2,0,0,background,0.0573716
-0.6,0.6,1.2,0,0,background,0.0570425
-0.6,0.6,1.2,0,0,background,0.0451975
-0.6,0.6,1.2,0,0,background,0.0438814
-0.6,0.6,1.2,0,0,background,0.0616489
-0.6,0.6,1.2,0,0,background,0.0567135
-0.6,0.6,1.2,0,0,background,0.0593457
-0.6,0.6,1.2,0,0,background,0.0415783
-0.6,0.6,1.2,0,0,background,0.0682294
-0.6,0.6,1.2,0,0,background,0.0586877
-0.6,0.6,1.2,0,0,background,0.0573716
-0.6,0.6,1.2,0,0,background,0.0573716
-0.6,0.6,1.2,0,0,background,0.0580296
-0.6,0.6,1.2,0,0,background,0.0583586
-0.6,0.6,1.2,0,0,background,0.0563845
-0.6,0.6,1.2,0,0,background,0.0570425
-0.6,0.6,1.2,0,0,background,0.0560554
-0.6,0.6,1.2,0,0,background,0.0557264
-0.6,0.6,1.2,0,0,background,0.0567135
-0.6,0.6,1.2,0,0,background,0.0567135
-0.6,0.6,1.2,0,0,background,0.0580296
-0.6,0.6,1.2,0,0,background,0.0570425
-0.6,0.6,1.2,0,0,background,0.0468427
-0.6,0.6,1.2,0,0,background,0.0636231
-0.6,0.6,1.2,0,0,background,0.0715197
-0.6,0.6,1.2,0,0,background,0.063294
-0.6,0.6,1.2,0,0,background,0.0527652
-0.6,0.6,1.2,0,0,background,0.0438814
-0.6,0.6,1.2,0,0,background,0.0514491
-0.6,0.6,1.2,0,0,background,0.0550684
-0.6,0.6,1.2,0,0,background,0.0590167
-0.6,0.6,1.2,0,0,background,0.0583586
-0.6,0.6,1.2,0,0,background,0.0567135
