x,y,z,inclinacion,azimuth,stage,medida_daq
0,0,1.2,0,0,background,0.0567135
0,0,1.2,0,0,background,0.0527652
0,0,1.2,0,0,background,0.0570425
0,0,1.2,0,0,background,0.0494749
0,0,1.2,0,0,background,0.0603328
0,0,1.2,0,0,background,0.050133
0,0,1.2,0,0,background,0.0530942
0,0,1.2,0,0,background,0.0577006
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0586877
0,0,1.2,0,0,background,0.0596747
0,0,1.2,0,0,background,0.0560554
0,0,1.2,0,0,background,0.0573716
0,0,1.2,0,0,background,0.0567135
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0570425
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0593457
0,0,1.2,0,0,background,0.0655972
0,0,1.2,0,0,background,0.0481588
0,0,1.2,0,0,background,0.0619779
0,0,1.2,0,0,background,0.0557264
0,0,1.2,0,0,background,0.0642811
0,0,1.2,0,0,background,0.0642811
0,0,1.2,0,0,background,0.0823776
0,0,1.2,0,0,background,0.0573716
0,0,1.2,0,0,background,0.0586877
0,0,1.2,0,0,background,0.0580296
0,0,1.2,0,0,background,0.0596747
0,0,1.2,0,0,background,0.0573716
0,0,1.2,0,0,background,0.0580296
0,0,1.2,0,0,background,0.0563845
0,0,1.2,0,0,background,0.0593457
0,0,1.2,0,0,background,0.0590167
0,0,1.2,0,0,background,0.0586877
0,0,1.2,0,0,background,0.0580296
0,0,1.2,0,0,background,0.0577006
0,0,1.2,0,0,background,0.0577006
0,0,1.2,0,0,background,0.0547393
0,0,1.2,0,0,background,0.0560554
0,0,1.2,0,0,background,0.0550684
0,0,1.2,0,0,background,0.0560554
0,0,1.2,0,0,background,0.062307
0,0,1.2,0,0,background,0.0455266
0,0,1.2,0,0,background,0.0639521
0,0,1.2,0,0,background,0.0596747
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0573716
0,0,1.2,0,0,background,0.0560554
0,0,1.2,0,0,background,0.0570425
0,0,1.2,0,0,background,0.0580296
0,0,1.2,0,0,background,0.0560554
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0586877
0,0,1.2,0,0,background,0.0577006
0,0,1.2,0,0,background,0.0583586
0,0,1.2,0,0,background,0.0580296
0,0,1.2,0,0,background,0.0455266
0,0,1.2,0,0,background,0.050133
0,0,1.2,0,0,background,0.0593457
0,0,1.2,0,0,background,0.0642811
0,0,1.2,0,0,background,0.0488168
0,0,1.2,0,0,background,0.0530942
0,0,1.2,0,0,background,0.0271011
0,0,1.2,0,0,background,0.0609909
