x,y,z,inclinacion,azimuth,stage,medida_daq
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0560554
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0583586
-0.2,-0.2,1.2,0,0,background,0.0583586
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0583586
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0461846
-0.2,-0.2,1.2,0,0,background,0.0428944
-0.2,-0.2,1.2,0,0,background,0.0593457
-0.2,-0.2,1.2,0,0,background,0.0524361
-0.2,-0.2,1.2,0,0,background,0.0560554
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0534232
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0583586
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0557264
-0.2,-0.2,1.2,0,0,background,0.0583586
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0451975
-0.2,-0.2,1.2,0,0,background,0.07481
-0.2,-0.2,1.2,0,0,background,0.0619779
-0.2,-0.2,1.2,0,0,background,0.0619779
-0.2,-0.2,1.2,0,0,background,0.0586877
-0.2,-0.2,1.2,0,0,background,0.063294
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0596747
-0.2,-0.2,1.2,0,0,background,0.0583586
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0702036
-0.2,-0.2,1.2,0,0,background,0.0603328
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0669133
-0.2,-0.2,1.2,0,0,background,0.0392751
-0.2,-0.2,1.2,0,0,background,0.0698746
-0.2,-0.2,1.2,0,0,background,0.0583586
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0540813
-0.2,-0.2,1.2,0,0,background,0.0734939
-0.2,-0.2,1.2,0,0,background,0.0560554
-0.2,-0.2,1.2,0,0,background,0.0708617
-0.2,-0.2,1.2,0,0,background,0.0445395
-0.2,-0.2,1.2,0,0,background,0.0458556
-0.2,-0.2,1.2,0,0,background,0.0294042
-0.2,-0.2,1.2,0,0,background,0.0600038
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0586877
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0593457
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0524361
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0639521
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0488168
-0.2,-0.2,1.2,0,0,background,0.0705326
-0.2,-0.2,1.2,0,0,background,0.0669133
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0560554
-0.2,-0.2,1.2,0,0,background,0.0544103
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0560554
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0771132
-0.2,-0.2,1.2,0,0,background,0.062307
-0.2,-0.2,1.2,0,0,background,0.0616489
-0.2,-0.2,1.2,0,0,background,0.0603328
-0.2,-0.2,1.2,0,0,background,0.0409202
-0.2,-0.2,1.2,0,0,background,0.0659263
-0.2,-0.2,1.2,0,0,background,0.0432234
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0583586
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0600038
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0731649
-0.2,-0.2,1.2,0,0,background,0.0488168
-0.2,-0.2,1.2,0,0,background,0.0524361
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0586877
-0.2,-0.2,1.2,0,0,background,0.0405912
-0.2,-0.2,1.2,0,0,background,0.0231527
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0586877
-0.2,-0.2,1.2,0,0,background,0.0563845
-0.2,-0.2,1.2,0,0,background,0.0560554
-0.2,-0.2,1.2,0,0,background,0.0586877
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0560554
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0494749
-0.2,-0.2,1.2,0,0,background,0.0731649
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0603328
-0.2,-0.2,1.2,0,0,background,0.0448685
-0.2,-0.2,1.2,0,0,background,0.062307
-0.2,-0.2,1.2,0,0,background,0.0560554
-0.2,-0.2,1.2,0,0,background,0.0586877
-0.2,-0.2,1.2,0,0,background,0.0586877
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0567135
-0.2,-0.2,1.2,0,0,background,0.0583586
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0642811
-0.2,-0.2,1.2,0,0,background,0.075468
-0.2,-0.2,1.2,0,0,background,0.0537523
-0.2,-0.2,1.2,0,0,background,0.0557264
-0.2,-0.2,1.2,0,0,background,0.0688875
-0.2,-0.2,1.2,0,0,background,0.074481
-0.2,-0.2,1.2,0,0,background,0.0524361
-0.2,-0.2,1.2,0,0,background,0.0603328
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0557264
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0619779
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0586877
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0570425
-0.2,-0.2,1.2,0,0,background,0.0580296
-0.2,-0.2,1.2,0,0,background,0.0577006
-0.2,-0.2,1.2,0,0,background,0.0767842
-0.2,-0.2,1.2,0,0,background,0.075468
-0.2,-0.2,1.2,0,0,background,0.0573716
-0.2,-0.2,1.2,0,0,background,0.0586877
-0.2,-0.2,1.2,0,0,background,0.0471717
-0.2,-0.2,1.2,0,0,background,0.0702036
-0.2,-0.2,1.2,0,0,background,0.0649392
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0590167
-0.2,-0.2,1.2,0,0,background,0.0577006
