x,y,z,inclinacion,azimuth,stage,medida_daq
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0586877
0,-0.2,1.2,0,0,background,0.0570425
0,-0.2,1.2,0,0,background,0.0616489
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0577006
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0563845
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0540813
0,-0.2,1.2,0,0,background,0.0590167
0,-0.2,1.2,0,0,background,0.0550684
0,-0.2,1.2,0,0,background,0.062965
0,-0.2,1.2,0,0,background,0.0484878
0,-0.2,1.2,0,0,background,0.0544103
0,-0.2,1.2,0,0,background,0.0734939
0,-0.2,1.2,0,0,background,0.0586877
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0600038
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0567135
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0577006
0,-0.2,1.2,0,0,background,0.0577006
0,-0.2,1.2,0,0,background,0.0586877
0,-0.2,1.2,0,0,background,0.0590167
0,-0.2,1.2,0,0,background,0.099487
0,-0.2,1.2,0,0,background,0.0767842
0,-0.2,1.2,0,0,background,0.0530942
0,-0.2,1.2,0,0,background,0.0600038
0,-0.2,1.2,0,0,background,0.0356558
0,-0.2,1.2,0,0,background,0.0530942
0,-0.2,1.2,0,0,background,0.0478298
0,-0.2,1.2,0,0,background,0.0593457
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0593457
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0573716
0,-0.2,1.2,0,0,background,0.0557264
0,-0.2,1.2,0,0,background,0.0573716
0,-0.2,1.2,0,0,background,0.0567135
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0563845
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0517781
0,-0.2,1.2,0,0,background,0.0636231
0,-0.2,1.2,0,0,background,0.0560554
0,-0.2,1.2,0,0,background,0.0475007
0,-0.2,1.2,0,0,background,0.0590167
0,-0.2,1.2,0,0,background,0.0409202
0,-0.2,1.2,0,0,background,0.0573716
0,-0.2,1.2,0,0,background,0.0567135
0,-0.2,1.2,0,0,background,0.0577006
0,-0.2,1.2,0,0,background,0.0590167
0,-0.2,1.2,0,0,background,0.0573716
0,-0.2,1.2,0,0,background,0.0600038
0,-0.2,1.2,0,0,background,0.0567135
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0590167
0,-0.2,1.2,0,0,background,0.0570425
0,-0.2,1.2,0,0,background,0.0563845
0,-0.2,1.2,0,0,background,0.0586877
0,-0.2,1.2,0,0,background,0.0590167
0,-0.2,1.2,0,0,background,0.0521071
0,-0.2,1.2,0,0,background,0.0465137
0,-0.2,1.2,0,0,background,0.0560554
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0586877
0,-0.2,1.2,0,0,background,0.0402621
0,-0.2,1.2,0,0,background,0.0524361
0,-0.2,1.2,0,0,background,0.0560554
0,-0.2,1.2,0,0,background,0.0573716
0,-0.2,1.2,0,0,background,0.0586877
0,-0.2,1.2,0,0,background,0.0583586
0,-0.2,1.2,0,0,background,0.0580296
0,-0.2,1.2,0,0,background,0.0586877
0,-0.2,1.2,0,0,background,0.0577006
0,-0.2,1.2,0,0,background,0.0593457
0,-0.2,1.2,0,0,background,0.0577006
