x,y,z,inclinacion,azimuth,stage,medida_daq
-0.6,-0.4,1.1,0,0,background,0.0119658
-0.6,-0.4,1.1,0,0,background,0.0363138
-0.6,-0.4,1.1,0,0,background,-0.0291626
-0.6,-0.4,1.1,0,0,background,-0.0561428
-0.6,-0.4,1.1,0,0,background,-0.0410075
-0.6,-0.4,1.1,0,0,background,-0.0015243
-0.6,-0.4,1.1,0,0,background,0.00143695
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,-0.00481457
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,0.00439819
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,-0.000537216
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,0.00143695
-0.6,-0.4,1.1,0,0,background,0.00110792
-0.6,-0.4,1.1,0,0,background,-0.00185332
-0.6,-0.4,1.1,0,0,background,-0.0400205
-0.6,-0.4,1.1,0,0,background,0.000778893
-0.6,-0.4,1.1,0,0,background,0.01394
-0.6,-0.4,1.1,0,0,background,-0.0127112
-0.6,-0.4,1.1,0,0,background,-0.0117241
-0.6,-0.4,1.1,0,0,background,-0.0893745
-0.6,-0.4,1.1,0,0,background,0.00538527
-0.6,-0.4,1.1,0,0,background,-0.00744678
-0.6,-0.4,1.1,0,0,background,-0.000537216
-0.6,-0.4,1.1,0,0,background,-0.000208189
-0.6,-0.4,1.1,0,0,background,-0.00349846
-0.6,-0.4,1.1,0,0,background,-0.00876289
-0.6,-0.4,1.1,0,0,background,0.00637235
-0.6,-0.4,1.1,0,0,background,0.00143695
-0.6,-0.4,1.1,0,0,background,-0.000866243
-0.6,-0.4,1.1,0,0,background,0.002095
-0.6,-0.4,1.1,0,0,background,0.00110792
-0.6,-0.4,1.1,0,0,background,-0.00119527
-0.6,-0.4,1.1,0,0,background,-0.00349846
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,0.0402621
-0.6,-0.4,1.1,0,0,background,-0.0133693
-0.6,-0.4,1.1,0,0,background,-0.000537216
-0.6,-0.4,1.1,0,0,background,0.00242403
-0.6,-0.4,1.1,0,0,background,-0.0317948
-0.6,-0.4,1.1,0,0,background,-0.0551557
-0.6,-0.4,1.1,0,0,background,-0.00415651
-0.6,-0.4,1.1,0,0,background,-0.000866243
-0.6,-0.4,1.1,0,0,background,-0.000537216
-0.6,-0.4,1.1,0,0,background,0.00143695
-0.6,-0.4,1.1,0,0,background,-0.000208189
-0.6,-0.4,1.1,0,0,background,0.00176597
-0.6,-0.4,1.1,0,0,background,-0.00514359
-0.6,-0.4,1.1,0,0,background,0.002095
-0.6,-0.4,1.1,0,0,background,0.00176597
-0.6,-0.4,1.1,0,0,background,0.00110792
-0.6,-0.4,1.1,0,0,background,-0.000866243
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,0.00242403
-0.6,-0.4,1.1,0,0,background,-0.000537216
-0.6,-0.4,1.1,0,0,background,-0.00974997
-0.6,-0.4,1.1,0,0,background,-0.00185332
-0.6,-0.4,1.1,0,0,background,-0.0015243
-0.6,-0.4,1.1,0,0,background,0.00505624
-0.6,-0.4,1.1,0,0,background,-0.0127112
-0.6,-0.4,1.1,0,0,background,-0.0255433
-0.6,-0.4,1.1,0,0,background,0.0738229
-0.6,-0.4,1.1,0,0,background,0.000778893
-0.6,-0.4,1.1,0,0,background,-0.0028404
-0.6,-0.4,1.1,0,0,background,0.00341111
-0.6,-0.4,1.1,0,0,background,0.00143695
-0.6,-0.4,1.1,0,0,background,0.00374014
-0.6,-0.4,1.1,0,0,background,-0.00547262
-0.6,-0.4,1.1,0,0,background,0.00242403
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,-0.00119527
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,-0.00119527
-0.6,-0.4,1.1,0,0,background,-0.00119527
-0.6,-0.4,1.1,0,0,background,0.0646101
-0.6,-0.4,1.1,0,0,background,0.01394
-0.6,-0.4,1.1,0,0,background,0.0159141
-0.6,-0.4,1.1,0,0,background,0.000778893
-0.6,-0.4,1.1,0,0,background,-0.00382749
-0.6,-0.4,1.1,0,0,background,0.0544103
-0.6,-0.4,1.1,0,0,background,-0.0110661
-0.6,-0.4,1.1,0,0,background,-0.00744678
-0.6,-0.4,1.1,0,0,background,-0.0028404
-0.6,-0.4,1.1,0,0,background,-0.00251138
-0.6,-0.4,1.1,0,0,background,-0.00349846
-0.6,-0.4,1.1,0,0,background,-0.00349846
-0.6,-0.4,1.1,0,0,background,0.00308208
-0.6,-0.4,1.1,0,0,background,-0.000208189
-0.6,-0.4,1.1,0,0,background,-0.000537216
-0.6,-0.4,1.1,0,0,background,-0.00119527
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,0.00176597
-0.6,-0.4,1.1,0,0,background,0.00110792
-0.6,-0.4,1.1,0,0,background,-0.00185332
-0.6,-0.4,1.1,0,0,background,0.0122948
-0.6,-0.4,1.1,0,0,background,0.0122948
-0.6,-0.4,1.1,0,0,background,0.0188754
-0.6,-0.4,1.1,0,0,background,-0.00909192
-0.6,-0.4,1.1,0,0,background,0.0159141
-0.6,-0.4,1.1,0,0,background,0.0277591
-0.6,-0.4,1.1,0,0,background,-0.00481457
-0.6,-0.4,1.1,0,0,background,0.00176597
-0.6,-0.4,1.1,0,0,background,-0.00349846
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,0.00143695
-0.6,-0.4,1.1,0,0,background,0.00538527
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,-0.000208189
-0.6,-0.4,1.1,0,0,background,-0.000537216
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,-0.00119527
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,-0.000208189
-0.6,-0.4,1.1,0,0,background,-0.094968
-0.6,-0.4,1.1,0,0,background,-0.0113951
-0.6,-0.4,1.1,0,0,background,0.00538527
-0.6,-0.4,1.1,0,0,background,-0.022582
-0.6,-0.4,1.1,0,0,background,0.0192044
-0.6,-0.4,1.1,0,0,background,-0.0133693
-0.6,-0.4,1.1,0,0,background,-0.0179756
-0.6,-0.4,1.1,0,0,background,-0.00218235
-0.6,-0.4,1.1,0,0,background,-0.000208189
-0.6,-0.4,1.1,0,0,background,-0.0028404
-0.6,-0.4,1.1,0,0,background,0.00176597
-0.6,-0.4,1.1,0,0,background,0.00538527
-0.6,-0.4,1.1,0,0,background,-0.00678873
-0.6,-0.4,1.1,0,0,background,-0.0015243
-0.6,-0.4,1.1,0,0,background,0.00341111
-0.6,-0.4,1.1,0,0,background,0.000778893
-0.6,-0.4,1.1,0,0,background,0.00143695
-0.6,-0.4,1.1,0,0,background,-0.000537216
-0.6,-0.4,1.1,0,0,background,-0.0015243
-0.6,-0.4,1.1,0,0,background,0.00341111
-0.6,-0.4,1.1,0,0,background,0.0593457
-0.6,-0.4,1.1,0,0,background,0.0119658
-0.6,-0.4,1.1,0,0,background,-0.0298206
-0.6,-0.4,1.1,0,0,background,-0.0156725
-0.6,-0.4,1.1,0,0,background,0.00472722
-0.6,-0.4,1.1,0,0,background,-0.00218235
-0.6,-0.4,1.1,0,0,background,0.0149271
-0.6,-0.4,1.1,0,0,background,0.00143695
-0.6,-0.4,1.1,0,0,background,-0.00382749
-0.6,-0.4,1.1,0,0,background,-0.000208189
-0.6,-0.4,1.1,0,0,background,-0.00382749
-0.6,-0.4,1.1,0,0,background,0.00275306
-0.6,-0.4,1.1,0,0,background,0.00341111
-0.6,-0.4,1.1,0,0,background,-0.0015243
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,-0.00119527
-0.6,-0.4,1.1,0,0,background,-0.00218235
-0.6,-0.4,1.1,0,0,background,-0.000537216
-0.6,-0.4,1.1,0,0,background,-0.000866243
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,-0.0419946
-0.6,-0.4,1.1,0,0,background,0.00670138
-0.6,-0.4,1.1,0,0,background,-0.000866243
-0.6,-0.4,1.1,0,0,background,-0.00843386
-0.6,-0.4,1.1,0,0,background,0.0155851
-0.6,-0.4,1.1,0,0,background,-0.0238981
-0.6,-0.4,1.1,0,0,background,-0.0015243
-0.6,-0.4,1.1,0,0,background,-0.0015243
-0.6,-0.4,1.1,0,0,background,0.000778893
-0.6,-0.4,1.1,0,0,background,-0.00251138
-0.6,-0.4,1.1,0,0,background,-0.00119527
-0.6,-0.4,1.1,0,0,background,-0.0028404
-0.6,-0.4,1.1,0,0,background,0.00406916
-0.6,-0.4,1.1,0,0,background,-0.0015243
-0.6,-0.4,1.1,0,0,background,0.000778893
-0.6,-0.4,1.1,0,0,background,0.000778893
-0.6,-0.4,1.1,0,0,background,0.000778893
-0.6,-0.4,1.1,0,0,background,0.000120839
-0.6,-0.4,1.1,0,0,background,-0.0015243
-0.6,-0.4,1.1,0,0,background,-0.00185332
-0.6,-0.4,1.1,0,0,background,-0.0288335
-0.6,-0.4,1.1,0,0,background,-0.00415651
-0.6,-0.4,1.1,0,0,background,-0.0028404
-0.6,-0.4,1.1,0,0,background,-0.00481457
-0.6,-0.4,1.1,0,0,background,0.000449866
-0.6,-0.4,1.1,0,0,background,0.0228237
-0.6,-0.4,1.1,0,0,background,-0.0127112
-0.6,-0.4,1.1,0,0,background,-0.000866243
-0.6,-0.4,1.1,0,0,background,-0.00251138
-0.6,-0.4,1.1,0,0,background,-0.00382749
