x,y,z,inclinacion,azimuth,stage,medida_daq
-0.6,0.2,0.9,0,0,background,0.0326945
-0.6,0.2,0.9,0,0,background,0.0353267
-0.6,0.2,0.9,0,0,background,0.0320365
-0.6,0.2,0.9,0,0,background,0.0346687
-0.6,0.2,0.9,0,0,background,0.0340106
-0.6,0.2,0.9,0,0,background,0.0340106
-0.6,0.2,0.9,0,0,background,0.0330235
-0.6,0.2,0.9,0,0,background,0.0333526
-0.6,0.2,0.9,0,0,background,0.0353267
-0.6,0.2,0.9,0,0,background,0.0106497
-0.6,0.2,0.9,0,0,background,0.0340106
-0.6,0.2,0.9,0,0,background,0.0399331
-0.6,0.2,0.9,0,0,background,0.0435524
-0.6,0.2,0.9,0,0,background,0.0201915
-0.6,0.2,0.9,0,0,background,0.0234818
-0.6,0.2,0.9,0,0,background,0.0303913
-0.6,0.2,0.9,0,0,background,0.0366428
-0.6,0.2,0.9,0,0,background,0.0353267
-0.6,0.2,0.9,0,0,background,0.0343397
-0.6,0.2,0.9,0,0,background,0.0359848
-0.6,0.2,0.9,0,0,background,0.0349977
-0.6,0.2,0.9,0,0,background,0.0349977
-0.6,0.2,0.9,0,0,background,0.0326945
-0.6,0.2,0.9,0,0,background,0.0343397
-0.6,0.2,0.9,0,0,background,0.0336816
-0.6,0.2,0.9,0,0,background,0.0326945
-0.6,0.2,0.9,0,0,background,0.0349977
-0.6,0.2,0.9,0,0,background,0.0336816
-0.6,0.2,0.9,0,0,background,0.0346687
-0.6,0.2,0.9,0,0,background,0.0557264
-0.6,0.2,0.9,0,0,background,0.0363138
-0.6,0.2,0.9,0,0,background,0.0422363
-0.6,0.2,0.9,0,0,background,0.0468427
-0.6,0.2,0.9,0,0,background,0.0475007
-0.6,0.2,0.9,0,0,background,-0.00777581
-0.6,0.2,0.9,0,0,background,0.0224947
-0.6,0.2,0.9,0,0,background,0.0336816
-0.6,0.2,0.9,0,0,background,0.0336816
-0.6,0.2,0.9,0,0,background,0.0353267
-0.6,0.2,0.9,0,0,background,0.0336816
-0.6,0.2,0.9,0,0,background,0.0317074
-0.6,0.2,0.9,0,0,background,0.037959
-0.6,0.2,0.9,0,0,background,0.0356558
-0.6,0.2,0.9,0,0,background,0.0336816
-0.6,0.2,0.9,0,0,background,0.0336816
-0.6,0.2,0.9,0,0,background,0.0333526
-0.6,0.2,0.9,0,0,background,0.0340106
-0.6,0.2,0.9,0,0,background,0.0333526
